"","Region","Subregion","Country","Rate","Count","Year"
"258","Oceania","Melanesia","Solomon Islands",NA,NA,"2011"
"259","Africa","Eastern Africa","Burundi",NA,NA,"2012"
"260","Africa","Eastern Africa","Kenya","10.837999999999999","4806","2012"
"261","Africa","Eastern Africa","Madagascar","2.6669999999999998","596","2012"
"262","Africa","Eastern Africa","Mauritius",NA,NA,"2012"
"263","Africa","Eastern Africa","Mozambique",NA,NA,"2012"
"264","Africa","Eastern Africa","Rwanda",NA,NA,"2012"
"265","Africa","Eastern Africa","Uganda","26.068000000000001","9009","2012"
"266","Africa","Eastern Africa","United Republic of Tanzania","1.2999999999999999E-2","6","2012"
"267","Africa","Middle Africa","Cameroon","9.2810000000000006","1994","2012"
"268","Africa","Middle Africa","Sao Tome and Principe",NA,NA,"2012"
"269","Africa","Northern Africa","Algeria",NA,NA,"2012"
"270","Africa","Northern Africa","Egypt",NA,NA,"2012"
"271","Africa","Northern Africa","Morocco","8.8230000000000004","2933","2012"
"272","Africa","Southern Africa","Botswana",NA,NA,"2012"
"273","Africa","Southern Africa","South Africa",NA,NA,"2012"
"274","Africa","Western Africa","Cabo Verde","52.079000000000001","263","2012"
"275","Africa","Western Africa","Cote d'Ivoire",NA,NA,"2012"
"276","Africa","Western Africa","Guinea",NA,NA,"2012"
"277","Africa","Western Africa","Nigeria","0.84299999999999997","1410","2012"
"278","Africa","Western Africa","Senegal",NA,NA,"2012"
"279","Africa","Western Africa","Sierra Leone",NA,NA,"2012"
"280","Americas","Caribbean","Bahamas","82.143000000000001","299","2012"
"281","Americas","Caribbean","Barbados","58.098999999999997","165","2012"
"282","Americas","Caribbean","Dominica",NA,NA,"2012"
"283","Americas","Caribbean","Dominican Republic","0.53400000000000003","53","2012"
"284","Americas","Caribbean","Grenada","197.196","211","2012"
"285","Americas","Caribbean","Jamaica","103.30800000000001","2936","2012"
"286","Americas","Caribbean","Puerto Rico",NA,NA,"2012"
"287","Americas","Caribbean","St. Kitts and Nevis",NA,NA,"2012"
"288","Americas","Caribbean","St. Vincent and the Grenadines","162.03700000000001","175","2012"
"289","Americas","Caribbean","Trinidad and Tobago","76.430999999999997","1028","2012"
"290","Americas","Central America","Belize","32.249000000000002","109","2012"
"291","Americas","Central America","Costa Rica","133.31899999999999","6250","2012"
"292","Americas","Central America","El Salvador","55.579000000000001","3467","2012"
"293","Americas","Central America","Guatemala","4.2889999999999997","655","2012"
"294","Americas","Central America","Honduras","30.655999999999999","2649","2012"
"295","Americas","Central America","Mexico","31.029","36389","2012"
"296","Americas","Central America","Nicaragua",NA,NA,"2012"
"297","Americas","Central America","Panama","64.703999999999994","2440","2012"
"298","Americas","Northern America","Bermuda","95.385000000000005","62","2012"
"299","Americas","Northern America","Canada","76.863","26842","2012"
"300","Americas","South America","Argentina",NA,NA,"2012"
"301","Americas","South America","Bolivia (Plurinational State of)","46.482999999999997","4824","2012"
"302","Americas","South America","Brazil","26.783000000000001","53375","2012"
"303","Americas","South America","Chile","94.885000000000005","16510","2012"
"304","Americas","South America","Colombia","24.742000000000001","11400","2012"
"305","Americas","South America","Ecuador","26.38","4082","2012"
"306","Americas","South America","Guyana","37.085999999999999","280","2012"
"307","Americas","South America","Paraguay","61.523000000000003","3951","2012"
"308","Americas","South America","Peru","20.937000000000001","6178","2012"
"309","Americas","South America","Uruguay","40.396999999999998","1365","2012"
"310","Asia","Central Asia","Kazakhstan","2.5190000000000001","422","2012"
"311","Asia","Central Asia","Tajikistan",NA,NA,"2012"
"312","Asia","Eastern Asia","Hong Kong Special Administrative Region of China","26.437000000000001","1863","2012"
"313","Asia","Eastern Asia","Japan","6.6879999999999997","8589","2012"
"314","Asia","Eastern Asia","Macao Special Administrative Region of China","8.6880000000000006","49","2012"
"315","Asia","Eastern Asia","Mongolia","11.752000000000001","332","2012"
"316","Asia","Eastern Asia","Republic of Korea","39.19","19619","2012"
